"","author","status","id"
"89","BorisJohnson","Spoke to @MarkRutte this afternoon to congratulate him on his re-election. The UK and the Netherlands will continue to be close partners and I look forward to working with Mark in the coming years 🇬🇧🇳🇱",89
"90","BorisJohnson","The sheer endurance and determination of @BillyMonger in his 140 mile challenge for @ComicRelief is an inspiration to us all. 

Thank you Billy and everyone who is supporting this important cause. 

#RedNoseDay https://t.co/UP8YLJDcXH",90
"91","BorisJohnson","The Oxford/AstraZeneca jab is safe and the Pfizer jab is safe - the thing that isn’t safe is catching COVID. 

Which is why it’s so important that we all get our jabs as soon as our turn comes. https://t.co/WREOjG4FIX",91
"92","BorisJohnson","WATCH LIVE: An update on coronavirus (18 March 2021) https://t.co/TwDIbvwJpE",92
"93","BorisJohnson","Congratulations @MarkRutte on winning the largest vote share in yesterday's election in the Netherlands. The UK and the Netherlands are close partners and old friends and I look forward to continuing to work with you in the coming years.

🇬🇧🇳🇱",93
"94","BorisJohnson","Today I visited Colham Manor Primary School in my constituency. 

Huge thanks to everyone who has worked so hard to get children back into the classroom. School is the best place for their education, wellbeing and development. https://t.co/cfKp1PK85m",94
"95","BorisJohnson","We are doing everything in our power to protect the most vulnerable in our society.
 
That is why we are investing £212m in a scheme to create homes and provide specialised support dedicated to helping rough sleepers rebuild their lives. 

https://t.co/l5oEtPqcyX",95
"96","BorisJohnson","I'm sorry to hear that @MagufuliJP, President of Tanzania, has passed away. My thoughts are with his loved ones and the people of Tanzania.",96
"97","BorisJohnson","The latest milestone is an incredible achievement – representing 25 million reasons to be confident for the future as we cautiously reopen society. 
 
Thank you to the brilliant NHS, scientists, armed forces, volunteers and all those who’ve helped our rollout. https://t.co/bR9sGMU3bo",97
"98","BorisJohnson","I’d like to wish everyone in Northern Ireland, Ireland and Irish people around the world a very happy St Patrick’s Day! 
 
#StPatricksDay https://t.co/49siHRwWoM",98
"99","BorisJohnson","Today we have published the #IntegratedReview – the most comprehensive survey of the UK’s foreign policy and national security in decades.

It's all part of our vision to unite and level up our country 🇬🇧 https://t.co/GZfmPpDqW7",99
"100","BorisJohnson","WATCH LIVE: My statement in the @HouseOfCommons on the #IntegratedReview https://t.co/c2Om14ZgsJ",100
"101","BorisJohnson","The objective of Global Britain is to use the full spectrum of our abilities, now amplified by record spending on both defence and science, to engage with and help the rest of the world.

My article on the #IntegratedReview: https://t.co/RogZpwrhPW https://t.co/bbLgYr6eve",101
"102","BorisJohnson","We’re going to level up bus services across the country, making them cheaper, greener and more reliable.
 
Great to be at the @NationalExpress Coventry depot to launch our National Bus Strategy yesterday. https://t.co/Miz5VJAWud",102
"103","BorisJohnson","https://t.co/Km9DBEySdy",103
